region,municipality,district,party,votes
Blekinge län,Karlshamn,0 - Centrala Asarum,S,519
Blekinge län,Karlshamn,0 - Centrala Asarum,SD,311
Blekinge län,Karlshamn,0 - Centrala Asarum,M,162
Blekinge län,Karlshamn,0 - Centrala Asarum,V,82
Blekinge län,Karlshamn,0 - Centrala Asarum,KD,53
Blekinge län,Karlshamn,0 - Centrala Asarum,C,37
Blekinge län,Karlshamn,0 - Centrala Asarum,L,37
Blekinge län,Karlshamn,0 - Centrala Asarum,MP,32
Blekinge län,Karlshamn,0 - Centrala Asarum,BLANK,13
Blekinge län,Karlshamn,0 - Centrala Asarum,ÖVR,11
Blekinge län,Karlshamn,0 - Centrala Asarum,FI,8
Blekinge län,Karlshamn,0 - Centrala Asarum,OGEJ,0
Blekinge län,Karlshamn,0 - Centrala Asarum,OG,0
Blekinge län,Karlshamn,10 - Skogsborg,S,289
Blekinge län,Karlshamn,10 - Skogsborg,M,237
Blekinge län,Karlshamn,10 - Skogsborg,SD,176
Blekinge län,Karlshamn,10 - Skogsborg,V,75
Blekinge län,Karlshamn,10 - Skogsborg,MP,63
Blekinge län,Karlshamn,10 - Skogsborg,L,53
Blekinge län,Karlshamn,10 - Skogsborg,C,51
Blekinge län,Karlshamn,10 - Skogsborg,KD,44
Blekinge län,Karlshamn,10 - Skogsborg,BLANK,13
Blekinge län,Karlshamn,10 - Skogsborg,ÖVR,8
Blekinge län,Karlshamn,10 - Skogsborg,FI,5
Blekinge län,Karlshamn,10 - Skogsborg,OGEJ,2
Blekinge län,Karlshamn,10 - Skogsborg,OG,0
Blekinge län,Karlshamn,11 - Stadsporten,S,395
Blekinge län,Karlshamn,11 - Stadsporten,SD,289
Blekinge län,Karlshamn,11 - Stadsporten,M,217
Blekinge län,Karlshamn,11 - Stadsporten,V,73
Blekinge län,Karlshamn,11 - Stadsporten,C,57
Blekinge län,Karlshamn,11 - Stadsporten,KD,53
Blekinge län,Karlshamn,11 - Stadsporten,L,40
Blekinge län,Karlshamn,11 - Stadsporten,MP,35
Blekinge län,Karlshamn,11 - Stadsporten,BLANK,17
Blekinge län,Karlshamn,11 - Stadsporten,FI,4
Blekinge län,Karlshamn,11 - Stadsporten,ÖVR,4
Blekinge län,Karlshamn,11 - Stadsporten,OG,1
Blekinge län,Karlshamn,11 - Stadsporten,OGEJ,0
Blekinge län,Karlshamn,12 - Svängsta nordöst,S,402
Blekinge län,Karlshamn,12 - Svängsta nordöst,SD,360
Blekinge län,Karlshamn,12 - Svängsta nordöst,M,128
Blekinge län,Karlshamn,12 - Svängsta nordöst,C,98
Blekinge län,Karlshamn,12 - Svängsta nordöst,KD,63
Blekinge län,Karlshamn,12 - Svängsta nordöst,V,62
Blekinge län,Karlshamn,12 - Svängsta nordöst,BLANK,20
Blekinge län,Karlshamn,12 - Svängsta nordöst,MP,19
Blekinge län,Karlshamn,12 - Svängsta nordöst,L,18
Blekinge län,Karlshamn,12 - Svängsta nordöst,ÖVR,12
Blekinge län,Karlshamn,12 - Svängsta nordöst,FI,1
Blekinge län,Karlshamn,12 - Svängsta nordöst,OG,1
Blekinge län,Karlshamn,12 - Svängsta nordöst,OGEJ,0
Blekinge län,Karlshamn,13 - Svängsta sydväst,SD,334
Blekinge län,Karlshamn,13 - Svängsta sydväst,S,256
Blekinge län,Karlshamn,13 - Svängsta sydväst,M,101
Blekinge län,Karlshamn,13 - Svängsta sydväst,C,75
Blekinge län,Karlshamn,13 - Svängsta sydväst,V,40
Blekinge län,Karlshamn,13 - Svängsta sydväst,KD,35
Blekinge län,Karlshamn,13 - Svängsta sydväst,MP,17
Blekinge län,Karlshamn,13 - Svängsta sydväst,L,12
Blekinge län,Karlshamn,13 - Svängsta sydväst,BLANK,11
Blekinge län,Karlshamn,13 - Svängsta sydväst,ÖVR,6
Blekinge län,Karlshamn,13 - Svängsta sydväst,FI,3
Blekinge län,Karlshamn,13 - Svängsta sydväst,OGEJ,0
Blekinge län,Karlshamn,13 - Svängsta sydväst,OG,0
Blekinge län,Karlshamn,14 - Torget,S,372
Blekinge län,Karlshamn,14 - Torget,M,268
Blekinge län,Karlshamn,14 - Torget,SD,250
